Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae,,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Butea monosperma,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (c),Caesalpinia,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Cajanus cajan,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Cajanus cajan,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria juncea,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria pallida,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria pallida,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Tree Specialist,Leguminosae (p),Crotalaria saltiana,India,HOSTS
